session_id,agent_id,profile_label,question_id,question_type,verdict_swap_off,verdict_swap_on,final_verdict
P09_RefSenVisSeq_I05_gen__MH_100,P09_RefSenVisSeq_I05_gen,Reflective-Sensing-Visual-Sequential,MH_100,,R0_WIN,,R0_WIN
P16_RefIntVerGlo_I03_adv__MH_046,P16_RefIntVerGlo_I03_adv,Reflective-Intuitive-Verbal-Global,MH_046,,R1_WIN,,R1_WIN
P15_RefIntVerSeq_I01_beg__MH_068,P15_RefIntVerSeq_I01_beg,Reflective-Intuitive-Verbal-Sequential,MH_068,,R1_WIN,,R1_WIN
P03_ActSenVerSeq_I05_gen__MH_097,P03_ActSenVerSeq_I05_gen,Active-Sensing-Verbal-Sequential,MH_097,,R1_WIN,,R1_WIN
P14_RefIntVisGlo_I05_gen__MH_096,P14_RefIntVisGlo_I05_gen,Reflective-Intuitive-Visual-Global,MH_096,,R1_WIN,,R1_WIN
P05_ActIntVisSeq_I04_gen__MH_049,P05_ActIntVisSeq_I04_gen,Active-Intuitive-Visual-Sequential,MH_049,,R1_WIN,,R1_WIN
P10_RefSenVisGlo_I04_gen__MH_035,P10_RefSenVisGlo_I04_gen,Reflective-Sensing-Visual-Global,MH_035,,R1_WIN,,R1_WIN
P07_ActIntVerSeq_I02_int__MH_094,P07_ActIntVerSeq_I02_int,Active-Intuitive-Verbal-Sequential,MH_094,,R1_WIN,,R1_WIN
P08_ActIntVerGlo_I03_adv__MH_081,P08_ActIntVerGlo_I03_adv,Active-Intuitive-Verbal-Global,MH_081,,R1_WIN,,R1_WIN
P14_RefIntVisGlo_I05_gen__MH_037,P14_RefIntVisGlo_I05_gen,Reflective-Intuitive-Visual-Global,MH_037,,R1_WIN,,R1_WIN
P04_ActSenVerGlo_I03_adv__MH_003,P04_ActSenVerGlo_I03_adv,Active-Sensing-Verbal-Global,MH_003,,R1_WIN,,R1_WIN
P06_ActIntVisGlo_I01_beg__MH_098,P06_ActIntVisGlo_I01_beg,Active-Intuitive-Visual-Global,MH_098,,R1_WIN,,R1_WIN
P02_ActSenVisGlo_I04_gen__MH_083,P02_ActSenVisGlo_I04_gen,Active-Sensing-Visual-Global,MH_083,,R1_WIN,,R1_WIN
P02_ActSenVisGlo_I01_beg__MH_030,P02_ActSenVisGlo_I01_beg,Active-Sensing-Visual-Global,MH_030,,R1_WIN,,R1_WIN
P10_RefSenVisGlo_I01_beg__MH_084,P10_RefSenVisGlo_I01_beg,Reflective-Sensing-Visual-Global,MH_084,,R1_WIN,,R1_WIN
P03_ActSenVerSeq_I05_gen__MH_077,P03_ActSenVerSeq_I05_gen,Active-Sensing-Verbal-Sequential,MH_077,,R1_WIN,,R1_WIN
P08_ActIntVerGlo_I02_int__MH_087,P08_ActIntVerGlo_I02_int,Active-Intuitive-Verbal-Global,MH_087,,R1_WIN,,R1_WIN
P16_RefIntVerGlo_I04_gen__MH_015,P16_RefIntVerGlo_I04_gen,Reflective-Intuitive-Verbal-Global,MH_015,,R1_WIN,,R1_WIN
P12_RefSenVerGlo_I03_adv__MH_041,P12_RefSenVerGlo_I03_adv,Reflective-Sensing-Verbal-Global,MH_041,,R1_WIN,,R1_WIN
P04_ActSenVerGlo_I03_adv__MH_049,P04_ActSenVerGlo_I03_adv,Active-Sensing-Verbal-Global,MH_049,,R1_WIN,,R1_WIN
P04_ActSenVerGlo_I01_beg__MH_042,P04_ActSenVerGlo_I01_beg,Active-Sensing-Verbal-Global,MH_042,,R1_WIN,,R1_WIN
P11_RefSenVerSeq_I03_adv__MH_008,P11_RefSenVerSeq_I03_adv,Reflective-Sensing-Verbal-Sequential,MH_008,,R1_WIN,,R1_WIN
P06_ActIntVisGlo_I05_gen__MH_081,P06_ActIntVisGlo_I05_gen,Active-Intuitive-Visual-Global,MH_081,,R1_WIN,,R1_WIN
P02_ActSenVisGlo_I03_adv__MH_073,P02_ActSenVisGlo_I03_adv,Active-Sensing-Visual-Global,MH_073,,R1_WIN,,R1_WIN
P15_RefIntVerSeq_I04_gen__MH_097,P15_RefIntVerSeq_I04_gen,Reflective-Intuitive-Verbal-Sequential,MH_097,,R1_WIN,,R1_WIN
P13_RefIntVisSeq_I02_int__MH_014,P13_RefIntVisSeq_I02_int,Reflective-Intuitive-Visual-Sequential,MH_014,,R1_WIN,,R1_WIN
P04_ActSenVerGlo_I02_int__MH_023,P04_ActSenVerGlo_I02_int,Active-Sensing-Verbal-Global,MH_023,,R1_WIN,,R1_WIN
P07_ActIntVerSeq_I01_beg__MH_032,P07_ActIntVerSeq_I01_beg,Active-Intuitive-Verbal-Sequential,MH_032,,R1_WIN,,R1_WIN
P07_ActIntVerSeq_I05_gen__MH_030,P07_ActIntVerSeq_I05_gen,Active-Intuitive-Verbal-Sequential,MH_030,,R1_WIN,,R1_WIN
P01_ActSenVisSeq_I05_gen__MH_089,P01_ActSenVisSeq_I05_gen,Active-Sensing-Visual-Sequential,MH_089,,R1_WIN,,R1_WIN
P12_RefSenVerGlo_I03_adv__MH_108,P12_RefSenVerGlo_I03_adv,Reflective-Sensing-Verbal-Global,MH_108,,R1_WIN,,R1_WIN
P03_ActSenVerSeq_I04_gen__MH_027,P03_ActSenVerSeq_I04_gen,Active-Sensing-Verbal-Sequential,MH_027,,R1_WIN,,R1_WIN
P07_ActIntVerSeq_I01_beg__MH_045,P07_ActIntVerSeq_I01_beg,Active-Intuitive-Verbal-Sequential,MH_045,,R1_WIN,,R1_WIN
P03_ActSenVerSeq_I01_beg__MH_038,P03_ActSenVerSeq_I01_beg,Active-Sensing-Verbal-Sequential,MH_038,,R1_WIN,,R1_WIN
P11_RefSenVerSeq_I04_gen__MH_033,P11_RefSenVerSeq_I04_gen,Reflective-Sensing-Verbal-Sequential,MH_033,,R1_WIN,,R1_WIN
P02_ActSenVisGlo_I03_adv__MH_060,P02_ActSenVisGlo_I03_adv,Active-Sensing-Visual-Global,MH_060,,R1_WIN,,R1_WIN
P03_ActSenVerSeq_I05_gen__MH_074,P03_ActSenVerSeq_I05_gen,Active-Sensing-Verbal-Sequential,MH_074,,R1_WIN,,R1_WIN
P13_RefIntVisSeq_I05_gen__MH_084,P13_RefIntVisSeq_I05_gen,Reflective-Intuitive-Visual-Sequential,MH_084,,R1_WIN,,R1_WIN
P05_ActIntVisSeq_I05_gen__MH_108,P05_ActIntVisSeq_I05_gen,Active-Intuitive-Visual-Sequential,MH_108,,R1_WIN,,R1_WIN
P01_ActSenVisSeq_I02_int__MH_070,P01_ActSenVisSeq_I02_int,Active-Sensing-Visual-Sequential,MH_070,,R1_WIN,,R1_WIN
P15_RefIntVerSeq_I04_gen__MH_027,P15_RefIntVerSeq_I04_gen,Reflective-Intuitive-Verbal-Sequential,MH_027,,R1_WIN,,R1_WIN
P03_ActSenVerSeq_I04_gen__MH_082,P03_ActSenVerSeq_I04_gen,Active-Sensing-Verbal-Sequential,MH_082,,R1_WIN,,R1_WIN
P11_RefSenVerSeq_I01_beg__MH_090,P11_RefSenVerSeq_I01_beg,Reflective-Sensing-Verbal-Sequential,MH_090,,R1_WIN,,R1_WIN
P01_ActSenVisSeq_I02_int__MH_009,P01_ActSenVisSeq_I02_int,Active-Sensing-Visual-Sequential,MH_009,,R0_WIN,,R0_WIN
P14_RefIntVisGlo_I04_gen__MH_028,P14_RefIntVisGlo_I04_gen,Reflective-Intuitive-Visual-Global,MH_028,,R1_WIN,,R1_WIN
P05_ActIntVisSeq_I05_gen__MH_051,P05_ActIntVisSeq_I05_gen,Active-Intuitive-Visual-Sequential,MH_051,,R1_WIN,,R1_WIN
P15_RefIntVerSeq_I03_adv__MH_036,P15_RefIntVerSeq_I03_adv,Reflective-Intuitive-Verbal-Sequential,MH_036,,R1_WIN,,R1_WIN
P04_ActSenVerGlo_I01_beg__MH_104,P04_ActSenVerGlo_I01_beg,Active-Sensing-Verbal-Global,MH_104,,R1_WIN,,R1_WIN
P14_RefIntVisGlo_I05_gen__MH_050,P14_RefIntVisGlo_I05_gen,Reflective-Intuitive-Visual-Global,MH_050,,R1_WIN,,R1_WIN
P10_RefSenVisGlo_I02_int__MH_080,P10_RefSenVisGlo_I02_int,Reflective-Sensing-Visual-Global,MH_080,,R1_WIN,,R1_WIN
P09_RefSenVisSeq_I05_gen__MH_089,P09_RefSenVisSeq_I05_gen,Reflective-Sensing-Visual-Sequential,MH_089,,R1_WIN,,R1_WIN
P15_RefIntVerSeq_I01_beg__MH_083,P15_RefIntVerSeq_I01_beg,Reflective-Intuitive-Verbal-Sequential,MH_083,,R1_WIN,,R1_WIN
P12_RefSenVerGlo_I05_gen__MH_003,P12_RefSenVerGlo_I05_gen,Reflective-Sensing-Verbal-Global,MH_003,,R1_WIN,,R1_WIN
P13_RefIntVisSeq_I02_int__MH_028,P13_RefIntVisSeq_I02_int,Reflective-Intuitive-Visual-Sequential,MH_028,,R1_WIN,,R1_WIN
P10_RefSenVisGlo_I02_int__MH_030,P10_RefSenVisGlo_I02_int,Reflective-Sensing-Visual-Global,MH_030,,R1_WIN,,R1_WIN
P12_RefSenVerGlo_I05_gen__MH_027,P12_RefSenVerGlo_I05_gen,Reflective-Sensing-Verbal-Global,MH_027,,R1_WIN,,R1_WIN
P06_ActIntVisGlo_I03_adv__MH_102,P06_ActIntVisGlo_I03_adv,Active-Intuitive-Visual-Global,MH_102,,R1_WIN,,R1_WIN
